"Title","Rating"
"Borgo","3.0"
"Civil War","2.0"
"Mad Max au-delà du Dôme du Tonnerre","2.0"
"LaRoy","3.0"
"Mad Max 2","3.5"
"Mad Max","3.0"
"S.O.S. Fantômes : La Menace de glace","2.0"
"Les Choristes","3.5"
"Et plus si affinités","3.0"
"Rosalie","2.0"
"Drive-Away Dolls","3.0"
"Bis Repetita","2.0"
"La Jeune fille et les paysans","3.5"
"Hunger","3.0"
"Godzilla x Kong : Le Nouvel Empire","2.0"
"Black Flies","2.0"
"Le Jeu de la reine","2.5"
"Heureux gagnants","3.0"
"Vampire humaniste cherche suicidaire consentant","3.0"
"Bolero","2.0"
"La Bête","2.5"
"Dune","4.0"
"Dune : Deuxième Partie","3.0"
"HLM Pussy","3.0"
"Il reste encore demain","3.0"
"La Salle des profs","3.0"
"Les Carnets de Siegfried","2.5"
"Le Successeur","4.0"
"Ils ont cloné Tyrone","3.0"
"Une vie","2.5"
"Les Chèvres !","1.5"
"Sans jamais nous connaître","1.0"
"Rebel Moon: Partie 1 - Enfant du feu","1.0"
"Un héros très discret","3.5"
"Un métier sérieux","2.5"
"L'Été dernier","2.5"
"Le Preneur de rats","3.5"
"Venin","4.0"
"Le Cygne","3.5"
"Chicken Run : la Menace Nuggets","2.5"
"A Man","3.0"
"Vivants","2.5"
"Venom","3.5"
"Bayard Rustin","3.5"
"Le Théorème de Marguerite","3.0"
"Le Garçon et le Héron","3.5"
"Iron Claw","3.0"
"Léo, la fabuleuse histoire de Léonard de Vinci","3.0"
"Daaaaaali !","3.0"
"Argylle","2.0"
"May December","2.0"
"La Zone d'intérêt","2.0"
"Pauvres Créatures","4.0"
"Godzilla Minus One","3.5"
"Bonnard, Pierre et Marthe","3.0"
"Un silence","3.0"
"Making Of","3.0"
"À la belle étoile","3.5"
"Dream Scenario","3.0"
"Une affaire d'honneur","2.5"
"Mon ami robot","3.0"
"Moi capitaine","3.0"
"Priscilla","2.5"
"Vermines","3.5"
"Maestro","2.0"
"Nimona","3.0"
"Saltburn","3.5"
"Gran Turismo","3.5"
"Blown Away","2.0"
"Une équipe de rêve","3.0"
"Wonka","3.0"
"Winter Break","3.5"
"Les Trois Mousquetaires: Milady","3.5"
"Bâtiment 5","3.0"
"Napoléon","2.0"
"Migration","3.0"
"Dumb Money","3.0"
"The Creator","4.0"
"Hunger Games: la Ballade du serpent et de l'oiseau chanteur","3.5"
"Mars Express","3.5"
"L'Arche de Noé","3.0"
"Avant que les flammes ne s’éteignent","3.5"
"Le Petit Blond de la Casbah","2.5"
"The Killer","3.0"
"La Passion de Dodin Bouffant","2.5"
"Complètement cramé !","3.0"
"L'Enlèvement","3.5"
"Flo","3.0"
"Ce Qui Nous Lie","2.5"
"Et la fête continue!","2.5"
"Vincent doit mourir","2.5"
"Lost Country","3.5"
"La Belle époque","3.0"
"Linda veut du poulet !","3.5"
"Killers of the Flower Moon","3.5"
"La Merveilleuse Histoire de Henry Sugar","3.5"
"Le Règne animal","3.5"
"Le Consentement","3.0"
"L'Abbé Pierre - Une vie de combats","3.5"
"Le Procès Goldman","3.5"
"Bernadette","3.0"
"Nouveau départ","3.0"
"Club Zero","3.5"
"Acide","3.0"
"Mystère à Venise","3.0"
"Le Livre des solutions","2.5"
"Second tour","3.5"
"À la recherche du bonheur","2.5"
"Wall-E","3.5"
"Super-bourrés","3.0"
"Reality","2.5"
"Anatomie d’une chute","3.0"
"Il faut sauver le soldat Ryan","3.0"
"La Nuée","3.0"
"Le Colibri","2.5"
"La Voix humaine","3.5"
"Strange Way of Life","2.5"
"La Voie Royale","3.0"
"Les Têtes de l'emploi","3.0"
"Fermer les yeux","2.0"
"Un coup de maître","3.0"
"Ninja Turtles: Teenage Years","2.5"
"Dans la maison","3.5"
"Les Vedettes","2.5"
"Edge Of Tomorrow","4.0"
"The Batman","4.0"
"Les Animaux Fantastiques : les Secrets de Dumbledore","2.5"
"Tropic","3.0"
"Indiana Jones et le Cadran de la Destinée","3.0"
"Le Transporteur","2.5"
"Oppenheimer","4.0"
"Yannick","3.5"
"En eaux très troubles","3.0"
"Fantastic Mr. Fox","4.0"
"Sur la branche","3.0"
"Juniors","3.5"
"The First Slam Dunk","3.5"
"Astérix et Obélix : Mission Cléopâtre","3.0"
"Barbie","2.0"
"Big Fish","4.0"
"Le Retour","3.5"
"First Man - le premier homme sur la Lune","3.5"
"Les Algues vertes","3.0"
"Arthur et la vengeance de Maltazard","1.5"
"Junk Head","3.5"
"Le Tigre et le Président","2.5"
"Mission : Impossible - Protocole fantôme","2.0"
"King Kong","2.5"
"Le Discours d'un roi","4.0"
"À contretemps","3.0"
"Mission: Impossible – Dead Reckoning Partie 1","3.5"
"The Witch","3.5"
"Rheingold","3.0"
"Le Rendez-vous galant de Carl","3.0"
"Élémentaire","3.0"
"Aviator","3.5"
"Sicario","3.5"
"The Flash","3.0"
"Asteroid City","3.5"
"Marcel le Coquillage (avec ses chaussures)","3.0"
"Casino","3.0"
"Carmen","3.0"
"Marinette","2.5"
"L'Amour et les Forêts","3.5"
"Une année difficile","3.5"
"Parasite","4.0"
"Spider-Man : Across The Spider-Verse","3.5"
"The Big Short : le Casse du siècle","4.0"
"Air","3.5"
"Le Péril jeune","3.0"
"Avatar : la voie de l'eau","2.0"
"Last Action Hero","3.5"
"Les Gardiens de la Galaxie 3","2.5"
"Last Night in Soho","4.0"
"Fumer fait tousser","3.0"
"Chien de la casse","3.5"
"La Vie pour de vrai","3.0"
"Creed III","2.0"
"John Wick : Chapitre 4","2.5"
"Super Mario Bros, le film","3.0"
"Once Upon a Time… in Hollywood","3.5"
"Sur les chemins noirs","2.0"
"Man of Steel","2.5"
"Suzume","2.5"
"Donjons & Dragons : L'Honneur des voleurs","3.5"
"Le Dernier des Mohicans","2.0"
"Glass Onion : une histoire à couteaux tirés","2.5"
"Bis","3.5"
"Commando","1.0"
"Bonne conduite","3.0"
"Le Menu","3.5"
"De Grandes espérances","3.0"
"Apaches","3.5"
"Pupille","2.0"
"Black Panther: Wakanda Forever","1.0"
"Shazam! La Rage des Dieux","2.0"
"Les Gorilles","3.0"
"Incroyable mais vrai","3.5"
"L'Ecole des facteurs","2.0"
"Armageddon Time","3.0"
"Les Trois Mousquetaires: D'Artagnan","3.0"
"Ad Astra","2.5"
"Les Petites victoires","3.0"
"Françoise","3.0"
"The Van","3.0"
"2 Minutes","3.5"
"À la mode","3.5"
"La Révolution des crabes","3.5"
"Black Phone","2.5"
"Mon Crime","3.5"
"The Whale","3.0"
"Drive","3.0"
"Bruno Reidal, confession d'un meurtrier","3.5"
"The Fabelmans","3.5"
"L'Astronaute","3.5"
"Fight Club","4.0"
"Astérix et Obélix : L'Empire du milieu","2.0"
"Icare","3.0"
"Dragon Rouge","3.0"
"Ant-Man et la Guêpe : Quantumania","2.0"
"The Social Network","3.5"
"Titanic","4.0"
"Minority Report","3.5"
"Ernest et Célestine : le voyage en Charabie","2.5"
"Joker","3.5"
"Knock at the Cabin","2.5"
"A l'Ouest, rien de nouveau","3.0"
"Les Banshees d'Inisherin","3.0"
"Vivre","3.0"
"Prey","2.5"
"Pirates des Caraïbes : la Vengeance de Salazar","2.5"
"Boîte noire","3.5"
"C'est magnifique !","2.5"
"Tu ne tueras point","3.0"
"Speed","2.5"
"Detective Conan : La Fiancée de Shibuya","2.5"
"Krypto et les Super-Animaux","1.5"
"Tic et Tac, les Rangers du risque : le film","2.0"
"La Méthode Williams","3.0"
"Ça","2.5"
"Tick, Tick…Boom!","2.0"
"Entre la vie et la mort","2.0"
"La Chèvre","3.0"
"Le Visiteur du futur","2.5"
"Fury","2.5"
"Là où chantent les écrevisses","2.0"
"Doctor Strange in the Multiverse of Madness","2.0"
"Les Folies fermières","2.0"
"Léon","3.0"
"Le Parrain, 2e partie","3.0"
"Rogue One: A Star Wars Story","2.5"
"Adieu Monsieur Haffmann","2.5"
"Jack Mimoun et les secrets de Val Verde","1.5"
"Seven","3.0"
"Le Chat Potté 2 : la dernière quête","2.5"
"Rambo","3.0"
"Couleurs de l'incendie","3.0"
"Sans un bruit","2.5"
"Dilili à Paris","3.0"
"Qui veut la peau de Roger Rabbit ?","2.0"
"Les Minions 2 : Il était une fois Gru","2.0"
"Soul","3.0"
"Les Bad Guys","2.5"
"Babylon","4.5"
"Snatch","3.5"
"Equalizer","3.0"
"La Ruse","2.0"
"Pinocchio par Guillermo del Toro","3.0"
"Le Jour des Corneilles","3.5"
"Le Dernier duel","3.5"
"The Northman","4.0"
"Drunk","3.0"
"Le Château ambulant","3.5"
"Ténor","3.0"
"Au Revoir Là-haut","3.5"
"Tenet","3.5"
"L'Innocent","3.5"
"Black Adam","2.0"
"Le Pharaon, le Sauvage et la princesse","2.5"
"Illusions Perdues","4.5"
"Les Mitchell contre les machines","2.5"
"Vesper Chronicles","1.5"
"Novembre","2.5"
"Sans filtre","3.5"
"Revoir Paris","2.5"
"Le Parrain","4.0"
"Avatar","3.0"
"Don't Worry Darling","2.5"
"Coup de théâtre","3.0"
"After Yang","2.0"
"En corps","3.5"
"Cars 3","2.5"
"Men","2.0"
"Everything Everywhere All at Once","2.0"
"Les Passagers de la nuit","3.5"
"Rebel","4.0"
"Nope","2.5"
"One Piece Film - Red","2.5"
"La Nuit du 12","2.0"
"Trois Mille ans à t’attendre","3.5"
"Buzz l'éclair","2.5"
"As bestas","3.0"
"El buen patrón","3.5"
"Irréductible","2.5"
"Get Out","3.5"
"Arthur 3 La Guerre des Deux Mondes","2.5"
"Bullet Train","3.0"
"La Petite Bande","3.0"
"Les Affranchis","3.0"
"Downton Abbey II : Une nouvelle ère","3.5"
"Doctor Strange","1.5"
"Ready Player One","4.0"
"Django Unchained","4.0"
"Parvana","3.0"
"Jujutsu Kaisen 0","3.5"
"The Duke","3.0"
"Spider-Man : New Generation","3.0"
"Moi, Moche et Méchant 3","2.0"
"Le Petit Nicolas - Qu’est-ce qu’on attend pour être heureux ?","3.5"
"Jurassic World: Fallen Kingdom","2.5"
"Mad Max: Fury Road","4.0"
"Midnight Express","1.0"
"Thor: Love And Thunder","2.0"
"Compétition officielle","3.5"
"Thor : Ragnarok","3.5"
"Avengers: Infinity War","1.5"
"Gone Girl","4.0"
"Elvis","3.0"
"Les Goûts et les couleurs","3.0"
"Star Wars : Episode I - La Menace fantôme","3.5"
"Coupez!","2.0"
"Venom: Let There Be Carnage","2.0"
"Edward aux mains d'argent","4.0"
"Morbius","1.0"
"Sonic 2 le film","1.5"
"Arthur et les Minimoys","3.5"
"Le Temps des secrets","3.0"
"La Brigade","3.5"
"Jurassic World: Le Monde d'après","2.0"
"Goliath","2.0"
"Notre-Dame brûle","4.0"
"Mon voisin Totoro","2.0"
"Grease","0.5"
"Top Gun: Maverick","4.5"
"Super Miss","0.5"
"Frère et soeur","1.5"
"Rocky","3.0"
"Contes du hasard et autres fantaisies","2.0"
"J'adore ce que vous faites","3.0"
"Arrête-moi si tu peux","4.0"
"Downton Abbey","3.5"
